index,current_path,filename,normalized_basename,size_bytes,size_human,duration_seconds,duration_human,video_codec,audio_codec,width,height,jellyfin_item_id,jellyfin_name,in_yes_folder_queue,has_media_ingest_json,has_face_meta_json,other_sidecars,model_person_smart_metadata_presence,why_missing,nearest_weak_candidate,nearest_source,nearest_score,nearest_class,nearest_reasons,recommended_next_action
14,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__400.mkv,OF4LM.COM is our home__400.mkv,of4lm com is our home 400,4208011,4.01 MiB,50.667,0:51,hevc,aac,1184,888,EC4198B1-B148-B2C2-F219-BA50B4B9E328,OF4LM.COM is our home__400,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__400.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
15,/mnt/spirit-8tb/media/yes/unknown/JoinUs @RisqueMega 64.mkv,JoinUs @RisqueMega 64.mkv,joinus risquemega 64,67772018,64.63 MiB,815.64,13:36,hevc,aac,1920,1080,95449CBF-1164-A348-BCDE-BB9F4D9071AB,JoinUs @RisqueMega 64,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\JoinUs @RisqueMega 64.MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
16,/mnt/spirit-8tb/media/yes/unknown/OF4LM.COM is our home__377.mkv,OF4LM.COM is our home__377.mkv,of4lm com is our home 377,8210994,7.83 MiB,98.84,1:39,hevc,aac,1280,720,4948AF22-3CD3-2F5C-5C7D-1A9E59B2C934,OF4LM.COM is our home__377,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\OF4LM.COM is our home__377.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
17,/mnt/spirit-8tb/media/yes/models/leighbunbun/Visit onlyshare.io FOR MORE (8).mkv,Visit onlyshare.io FOR MORE (8).mkv,visit onlyshare io for more,5933581,5.66 MiB,71.213,1:11,hevc,aac,404,720,E021D4D7-7D4E-F14B-548A-B9114FA44F6C,Visit onlyshare.io FOR MORE (8),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",/mnt/spirit-8tb/media-originals/keep-for-30-days/yes/mi-mqkpctjr-a4840d33/Lexi Marvel Shakes Her Lusty Cake.mp4,dell-original,0.37,weak/near only,duration <=1.5s; same aspect; same audio codec; mp4-like container,investigate renamed backup file
18,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (43).mkv,@boomboomhub TG (43).mkv,boomboomhub tg,7622327,7.27 MiB,91.75,1:32,hevc,aac,720,1280,DC715C98-2550-7FF1-09E6-9DC09375D4D6,@boomboomhub TG (43),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",/mnt/spirit-8tb/media-originals/keep-for-30-days/yes/mi-mqkpcubx-ce9ad7c1/Lexi Marvel Teasing With Her Big Juicy Ass.mp4,dell-original,0.37,weak/near only,duration <=1.5s; same aspect; same audio codec; mp4-like container,investigate renamed backup file
19,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (50).mkv,@boomboomhub TG (50).mkv,boomboomhub tg,11416606,10.89 MiB,137.421,2:17,hevc,aac,1080,1920,4F8125BA-8259-C6A1-6AE1-534C4A16C3BE,@boomboomhub TG (50),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\CeCe Rose Leaked Video Teasing Her Dirty Nude OF Secret.mp4,windows-backup,0.37,weak/near only,duration <=1.5s; same aspect; same audio codec; mp4-like container,investigate renamed backup file
20,/mnt/spirit-8tb/media/yes/models/azilia-hadid/@boomboomhub TG (39).mkv,@boomboomhub TG (39).mkv,boomboomhub tg,29213967,27.86 MiB,351.635,5:52,hevc,aac,1080,1920,3F35678F-491D-285A-EE54-C151B7118037,@boomboomhub TG (39),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\@boomboomhub TG (39).MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
21,/mnt/spirit-8tb/media/yes/models/sienna-ababi/@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mkv,@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.mkv,dailyleaksmain 5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3,7784038,7.42 MiB,93.71,1:34,hevc,aac,1080,1920,D4B7AE1A-254A-94C8-03B2-3FA68A660F57,@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\@DailyLeaksMain_5a6152622c58eb1a882b28ad94a5b92dbafc2eaa155bb35c1ce00b835156eba3.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
22,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (7).mkv,Visit onlyshare.io for MORE (7).mkv,visit onlyshare io for more,1355480,1.29 MiB,16.341,0:16,hevc,aac,1280,720,2973B10E-D7DC-70F4-A7C3-2C9B09A6D10F,Visit onlyshare.io for MORE (7),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE (7).MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
23,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (1).mkv,Visit onlyshare.io for MORE (1).mkv,visit onlyshare io for more,5734515,5.47 MiB,69.102,1:09,hevc,aac,1920,1080,2587D21A-6CE2-5B84-874D-C3DDF5B3D542,Visit onlyshare.io for MORE (1),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE (1).MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
24,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (5).mkv,Visit onlyshare.io for MORE (5).mkv,visit onlyshare io for more,7102078,6.77 MiB,85.494,1:25,hevc,aac,1280,720,12930795-5CE7-DEC9-79F7-B4676A7F7443,Visit onlyshare.io for MORE (5),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE (5).MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
25,/mnt/spirit-8tb/media/yes/models/sienna-ababi/Visit onlyshare.io for MORE (28).mkv,Visit onlyshare.io for MORE (28).mkv,visit onlyshare io for more,2010044,1.92 MiB,24.224,0:24,hevc,aac,672,1232,AB7F1257-18AF-AA74-B2B1-D2A705C7DBDD,Visit onlyshare.io for MORE (28),true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",/mnt/spirit-8tb/media-originals/keep-for-30-days/yes/mi-mqh2xqdq-76f23a28/Savaschultz savaschulz savashultz Exclusive Leaked Nude OnlyFans(3).mp4,dell-original,0.4,weak/near only,duration <=1.5s; same aspect; same audio codec; similar size; mp4-like container,investigate renamed backup file
26,/mnt/spirit-8tb/media/yes/models/cutefru/Visit onlyshare.io for MORE 04419.mkv,Visit onlyshare.io for MORE 04419.mkv,visit onlyshare io for more 04419,12763362,12.17 MiB,154.354,2:34,hevc,aac,1080,1516,34E61BFA-BD45-70E5-8D21-38B782959E63,Visit onlyshare.io for MORE 04419,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE 04419.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
27,/mnt/spirit-8tb/media/yes/models/izzy-green/ScreenRecording_05-20-2026 23-16-39_1.mkv,ScreenRecording_05-20-2026 23-16-39_1.mkv,screenrecording 05 20 2026 23 16 39 1,2252236,2.15 MiB,29.693,0:30,hevc,aac,884,1920,6CD4CC81-6DD9-F771-F3F9-63F9642D2EC5,ScreenRecording_05-20-2026 23-16-39_1,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\ScreenRecording_05-20-2026 23-16-39_1.MP4,android-backup,0.48,weak/near only,numeric id; duration <=1.5s; same resolution; same video codec; same audio codec; very different size; mp4-like container,investigate renamed backup file
28,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (218).mkv,Join ✨@ofxmega on [TELEGRAM] (218).mkv,join ofxmega on,5854757,5.58 MiB,70.479,1:10,hevc,aac,1080,1920,26DF8678-1934-42FC-274C-F1819E5148FD,Join ✨@ofxmega on [TELEGRAM] (218),false,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Join ✨@ofxmega on [TELEGRAM] (218).MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
29,/mnt/spirit-8tb/media/yes/models/izzy-green/Join ✨@ofxmega on [TELEGRAM] (283).mkv,Join ✨@ofxmega on [TELEGRAM] (283).mkv,join ofxmega on,4377566,4.17 MiB,52.533,0:53,hevc,aac,1232,656,B736B4CF-DDC9-4134-E426-67D93C7EA018,Join ✨@ofxmega on [TELEGRAM] (283),false,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Join ✨@ofxmega on [TELEGRAM] (283).MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
30,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 40.mkv,Visit onlyshare.io for MORE 40.mkv,visit onlyshare io for more 40,86388352,82.39 MiB,1039.614,17:20,hevc,aac,1080,1920,000092E3-08A5-74D1-1A02-86D7ACE35874,Visit onlyshare.io for MORE 40,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE 40.MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
31,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 86.mkv,Visit onlyshare.io for MORE 86.mkv,visit onlyshare io for more 86,58323645,55.62 MiB,702.026,11:42,hevc,aac,1920,1080,E66CD065-AFB5-E2C3-6B5E-66F04FB58FDB,Visit onlyshare.io for MORE 86,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE 86.MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
32,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 130.mkv,Visit onlyshare.io for MORE 130.mkv,visit onlyshare io for more 130,9754574,9.30 MiB,117.484,1:57,hevc,aac,1080,1920,2872D564-E568-E928-9A3D-4D7C3DDE0B5D,Visit onlyshare.io for MORE 130,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE 130.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
33,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 62.mkv,Visit onlyshare.io for MORE 62.mkv,visit onlyshare io for more 62,71808609,68.48 MiB,864.397,14:24,hevc,aac,1920,1080,B9E90558-2F0F-A4AC-EF80-BF4EDE68515D,Visit onlyshare.io for MORE 62,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE 62.MP4,android-backup,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
34,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 79.mkv,Visit onlyshare.io for MORE 79.mkv,visit onlyshare io for more 79,60149670,57.36 MiB,723.923,12:04,hevc,aac,1920,1080,64F27033-DEF6-000A-29C4-3E48D88E50C9,Visit onlyshare.io for MORE 79,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",/mnt/spirit-8tb/media-originals/keep-for-30-days/yes/mi-mqhh0ocp-f2f7c18e/Candy Love I Want My Pussy Full of Cum Remove Condom no Birth Co.mp4,dell-original,0.37,weak/near only,duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
35,/mnt/spirit-8tb/media/yes/models/aaliyah-yasan/Visit onlyshare.io for MORE 50.mkv,Visit onlyshare.io for MORE 50.mkv,visit onlyshare io for more 50,80396510,76.67 MiB,967.375,16:07,hevc,aac,1920,1080,EDD16B2F-2D75-3752-3EB9-5E5606F5AB21,Visit onlyshare.io for MORE 50,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",/mnt/spirit-8tb/media-originals/keep-for-30-days/yes/mi-mqk95d3c-a93e3052/models/emiliaofficial/Emilia Bunny Strict Teachers Private Lesson Beeg.mp4,dell-original,0.4,weak/near only,duration <=1.5s; same resolution; same audio codec; mp4-like container,investigate renamed backup file
36,/mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mkv,564677_720p.mkv,564677 720p,20099625,19.17 MiB,253.879,4:14,hevc,aac,404,720,2636F849-628B-70AF-D88E-E13ED5F89099,564677_720p,true,true,true,/mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mkv.face-meta-2.json,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\jvlrc49ddg~7KxkgZMm9j.mp4,android-backup,0.22,weak/near only,duration <=5s; same audio codec; mp4-like container,keep MKV and Mac-optimize to MP4
37,/mnt/spirit-8tb/media/yes/models/cute-geekie/@MLHUBOF Telegram 🌌🔥 - 793.mkv,@MLHUBOF Telegram 🌌🔥 - 793.mkv,mlhubof telegram 793,20337259,19.40 MiB,244.82,4:05,hevc,aac,1080,1920,74BBCAD7-C8BC-211D-A106-8DDAFCF1D716,@MLHUBOF Telegram 🌌🔥 - 793,false,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\@MLHUBOF Telegram 🌌🔥 - 793.M4V,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
38,/mnt/spirit-8tb/media/yes/models/cute-geekie/Visit onlyshare.io for MORE 05135.mkv,Visit onlyshare.io for MORE 05135.mkv,visit onlyshare io for more 05135,9433361,9.00 MiB,125.525,2:06,hevc,aac,1920,1080,058D5F35-6C21-06B7-058D-1A6083300ABF,Visit onlyshare.io for MORE 05135,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\Visit onlyshare.io for MORE 05135.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
39,/mnt/spirit-8tb/media/yes/models/cute-geekie/@MLHUBOF Telegram 🌌🔥 - 537.mkv,@MLHUBOF Telegram 🌌🔥 - 537.mkv,mlhubof telegram 537,8190183,7.81 MiB,98.715,1:39,hevc,aac,1076,1822,0F85AE1F-8811-F930-2A00-A014C07DF518,@MLHUBOF Telegram 🌌🔥 - 537,false,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\@MLHUBOF Telegram 🌌🔥 - 537.M4V,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
40,/mnt/spirit-8tb/media/yes/models/cute-geekie/51591.mkv,51591.mkv,51591,68385057,65.22 MiB,780.469,13:00,hevc,aac,1284,720,F50A3A71-35FD-8252-9F27-400DD18E2604,51591,true,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\548555_720p.mp4,android-backup,0.25,weak/near only,duration <=5s; same aspect; same audio codec; mp4-like container,keep MKV and Mac-optimize to MP4
41,/mnt/spirit-8tb/media/yes/models/cute-geekie/@MLHUBOF Telegram 🌌🔥 - 558.mkv,@MLHUBOF Telegram 🌌🔥 - 558.mkv,mlhubof telegram 558,5311444,5.07 MiB,66.477,1:06,hevc,aac,1078,1920,B37A1550-0800-0FDA-9D08-7BDD8A227A57,@MLHUBOF Telegram 🌌🔥 - 558,false,true,true,,face_meta; media_ingest,"best MP4/M4V/MOV candidate score below possible threshold 0.50 across Dell originals, Windows backup, and Android backup",D:\tempVidStorage\anrdoidBackup\@MLHUBOF Telegram 🌌🔥 - 558.MP4,android-backup,0.45,weak/near only,numeric id; duration <=1.5s; same resolution; same audio codec; very different size; mp4-like container,investigate renamed backup file
