metadata_file_path,stale_value,json_key_or_path,classification,reason,blocks_playback,blocks_hls_cleanup,recommended_action
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (278).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (278).mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (278).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (278).mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (279).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (279).mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (279).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (279).mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (286).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (286).mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (286).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (286).mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (288).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (288).mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (288).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (288).mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (295).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (295).mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (295).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (295).mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (299).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (299).mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/jazmen-jafar/✨@ofxmega on [TELEGRAM] (299).mp4.face-meta.json,/DATA/yes/✨@ofxmega on [TELEGRAM] (299).mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/strawberrytabby/564677_720p.mp4.face-meta-2.json,/DATA/yes/564677_720p.mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/whoahannahjo/v 3.mp4.face-meta.json,/DATA/yes/v 3.mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/whoahannahjo/v 3.mp4.face-meta.json,/DATA/yes/v 3.mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/whoahannahjo/v 4.mp4.face-meta.json,/DATA/yes/v 4.mkv,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/mnt/spirit-8tb/media/yes/models/whoahannahjo/v 4.mp4.face-meta.json,/DATA/yes/v 4.mkv.face-meta.json,move_receipt/historical-key,historical provenance / move_receipt accepted,face metadata move_receipt/provenance mapping; not an active playback path,no,no,preserve historical ref and exclude from active stale counts
/home/source/SpiritOS/docs/evidence/spiritflix-final-post-mp4-cleanup-20260620-204410/orphan-metadata-quarantine/Devorah Roloff Pumps Massive Dildo in Leaked Suck and Fuck Fest.mkv.media-ingest.json,/mnt/spirit-8tb/media/yes/Devorah Roloff Pumps Massive Dildo in Leaked Suck and Fuck Fest.mkv,finalPath,orphan metadata archived/quarantined safely,no live MP4/MKV/TS/MOV/M4V with same stem; quarantined out of live media metadata,no,no,leave in evidence quarantine for manual review only
/home/source/SpiritOS/docs/evidence/spiritflix-final-post-mp4-cleanup-20260620-204410/orphan-metadata-quarantine/video-2026-06-19T09-46-04.726Z.mkv.media-ingest.json,/mnt/spirit-8tb/media/yes/video-2026-06-19T09-46-04.726Z.mkv,finalPath,orphan metadata archived/quarantined safely,no live MP4/MKV/TS/MOV/M4V with same stem; quarantined out of live media metadata,no,no,leave in evidence quarantine for manual review only
/home/source/SpiritOS/docs/evidence/spiritflix-final-post-mp4-cleanup-20260620-204410/orphan-metadata-quarantine/video-2026-06-19T09-46-04.726Z.mkv.media-ingest.json,"nice -n 12 taskset -c 0,1 .venv-face-organizer/bin/python scripts/media/face_organizer.py --scan-video /mnt/spirit-8tb/media/yes/video-2026-06-19T09-46-04.726Z.mkv --source /mnt/spirit-8tb/media/yes --apply --force --frame-count 12 --ctx-id 0 exited 1: /home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:149: UserWarning: Specified provider 'CUDAExecutionProvider' is not in available provider names.Available providers: 'AzureExecutionProvider, CPUExecutionProvider'\n  warnings.warn(\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n20:10:05 INFO Wrote verification report: scripts/media/face_verification_report.html\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:149: UserWarning: Specified provider 'CUDAExecutionProvider' is not in available provider names.Available providers: 'AzureExecutionProvider, CPUExecutionProvider'\n  warnings.warn(\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:149: UserWarning: Specified provider 'CUDAExecutionProvider' is not in available provider names.Available providers: 'AzureExecutionProvider, CPUExecutionProvider'\n  warnings.warn(\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:149: UserWarning: Specified provider 'CUDAExecutionProvider' is not in available provider names.Available providers: 'AzureExecutionProvider, CPUExecutionProvider'\n  warnings.warn(\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:149: UserWarning: Specified provider 'CUDAExecutionProvider' is not in available provider names.Available providers: 'AzureExecutionProvider, CPUExecutionProvider'\n  warnings.warn(\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:149: UserWarning: Specified provider 'CUDAExecutionProvider' is not in available provider names.Available providers: 'AzureExecutionProvider, CPUExecutionProvider'\n  warnings.warn(\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/onnxruntime/capi/onnxruntime_inference_collection.py:149: UserWarning: Specified provider 'CUDAExecutionProvider' is not in available provider names.Available providers: 'AzureExecutionProvider, CPUExecutionProvider'\n  warnings.warn(\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n/home/source/SpiritOS/.venv-face-organizer/lib/python3.12/site-packages/insightface/utils/face_align.py:23: FutureWarning: `estimate` is deprecated since version 0.26 and will be removed in version 2.2. Please use `SimilarityTransform.from_estimate` class constructor instead.\n  tform.estimate(lmk, dst)\n20:11:32 INFO Auto-refreshed stale enrollment recommendations for: Kinkykttn, Sendnudesx, Mackzjones, Sakhovanski, Sakurai Rena, Yummy Couple\n20:11:34 INFO Wrote face enrollment queue: scripts/media/face_enrollment_queue.html\nTraceback (most recent call last):\n  File \",error,orphan metadata archived/quarantined safely,no live MP4/MKV/TS/MOV/M4V with same stem; quarantined out of live media metadata,no,no,leave in evidence quarantine for manual review only
/home/source/SpiritOS/docs/evidence/spiritflix-final-post-mp4-cleanup-20260620-204410/orphan-metadata-quarantine/video-2026-06-19T09-46-04.726Z.mkv.media-ingest.json,/mnt/spirit-8tb/media/yes/video-2026-06-19T09-46-04.726Z.mkv.face-meta.json,sidecarPath,orphan metadata archived/quarantined safely,no live MP4/MKV/TS/MOV/M4V with same stem; quarantined out of live media metadata,no,no,leave in evidence quarantine for manual review only
/home/source/SpiritOS/docs/evidence/spiritflix-final-post-mp4-cleanup-20260620-204410/orphan-metadata-quarantine/video-2026-06-19T09-46-04.726Z.mkv.media-ingest.json,stale .mkv/.ts occurrence preserved in opaque receipt/log text,unparsed occurrence 4,orphan metadata archived/quarantined safely,no live MP4/MKV/TS/MOV/M4V with same stem; quarantined out of live media metadata,no,no,leave in evidence quarantine for manual review only
/home/source/SpiritOS/docs/evidence/spiritflix-final-post-mp4-cleanup-20260620-204410/orphan-metadata-quarantine/✨@ofxmega on [TELEGRAM] (86).mkv.media-ingest.json,/mnt/spirit-8tb/media/yes/✨@ofxmega on [TELEGRAM] (86).mkv,finalPath,orphan metadata archived/quarantined safely,no live MP4/MKV/TS/MOV/M4V with same stem; quarantined out of live media metadata,no,no,leave in evidence quarantine for manual review only
